measure,sex,ga_label,ga_weeks,z_level,value
length,female,38+4,38.57142857142857,1,50.0
length,female,38+4,38.57142857142857,2,51.7
length,female,38+4,38.57142857142857,3,53.6
length,female,38+5,38.714285714285715,-3,43.0
length,female,38+5,38.714285714285715,-2,45.1
length,female,38+5,38.714285714285715,-1,46.9
length,female,38+5,38.714285714285715,0,48.5
length,female,38+5,38.714285714285715,1,50.1
length,female,38+5,38.714285714285715,2,51.7
length,female,38+5,38.714285714285715,3,53.7
length,female,38+6,38.857142857142854,-3,43.1
length,female,38+6,38.857142857142854,-2,45.2
length,female,38+6,38.857142857142854,-1,46.9
length,female,38+6,38.857142857142854,0,48.6
length,female,38+6,38.857142857142854,1,50.1
length,female,38+6,38.857142857142854,2,51.8
length,female,38+6,38.857142857142854,3,53.8
length,female,39+0,39.0,-3,43.2
length,female,39+0,39.0,-2,45.3
length,female,39+0,39.0,-1,47.0
length,female,39+0,39.0,0,48.7
length,female,39+0,39.0,1,50.2
length,female,39+0,39.0,2,51.9
length,female,39+0,39.0,3,53.9
length,female,39+1,39.142857142857146,-3,43.3
length,female,39+1,39.142857142857146,-2,45.4
length,female,39+1,39.142857142857146,-1,47.1
length,female,39+1,39.142857142857146,0,48.7
length,female,39+1,39.142857142857146,1,50.3
length,female,39+1,39.142857142857146,2,52.0
length,female,39+1,39.142857142857146,3,53.9
length,female,39+2,39.285714285714285,-3,43.4
length,female,39+2,39.285714285714285,-2,45.5
length,female,39+2,39.285714285714285,-1,47.2
length,female,39+2,39.285714285714285,0,48.8
length,female,39+2,39.285714285714285,1,50.4
length,female,39+2,39.285714285714285,2,52.1
length,female,39+2,39.285714285714285,3,54.0
length,female,39+3,39.42857142857143,-3,43.5
length,female,39+3,39.42857142857143,-2,45.6
length,female,39+3,39.42857142857143,-1,47.3
length,female,39+3,39.42857142857143,0,48.9
length,female,39+3,39.42857142857143,1,50.5
length,female,39+3,39.42857142857143,2,52.1
length,female,39+3,39.42857142857143,3,54.1
length,female,39+4,39.57142857142857,-3,43.6
length,female,39+4,39.57142857142857,-2,45.6
length,female,39+4,39.57142857142857,-1,47.4
length,female,39+4,39.57142857142857,0,49.0
length,female,39+4,39.57142857142857,1,50.6
length,female,39+4,39.57142857142857,2,52.2
length,female,39+4,39.57142857142857,3,54.1
length,female,39+5,39.714285714285715,-3,43.7
length,female,39+5,39.714285714285715,-2,45.7
length,female,39+5,39.714285714285715,-1,47.5
length,female,39+5,39.714285714285715,0,49.1
length,female,39+5,39.714285714285715,1,50.6
