measure,sex,ga_label,ga_weeks,z_level,value
weight,male,37+5,37.714285714285715,1,3.45
weight,male,37+5,37.714285714285715,2,3.93
weight,male,37+5,37.714285714285715,3,4.51
weight,male,37+6,37.857142857142854,-3,1.76
weight,male,37+6,37.857142857142854,-2,2.24
weight,male,37+6,37.857142857142854,-1,2.66
weight,male,37+6,37.857142857142854,0,3.05
weight,male,37+6,37.857142857142854,1,3.48
weight,male,37+6,37.857142857142854,2,3.96
weight,male,37+6,37.857142857142854,3,4.54
weight,male,38+0,38.0,-3,1.78
weight,male,38+0,38.0,-2,2.27
weight,male,38+0,38.0,-1,2.68
weight,male,38+0,38.0,0,3.08
weight,male,38+0,38.0,1,3.5
weight,male,38+0,38.0,2,3.98
weight,male,38+0,38.0,3,4.56
weight,male,38+1,38.142857142857146,-3,1.81
weight,male,38+1,38.142857142857146,-2,2.29
weight,male,38+1,38.142857142857146,-1,2.71
weight,male,38+1,38.142857142857146,0,3.1
weight,male,38+1,38.142857142857146,1,3.53
weight,male,38+1,38.142857142857146,2,4.01
weight,male,38+1,38.142857142857146,3,4.59
weight,male,38+2,38.285714285714285,-3,1.83
weight,male,38+2,38.285714285714285,-2,2.32
weight,male,38+2,38.285714285714285,-1,2.73
weight,male,38+2,38.285714285714285,0,3.12
weight,male,38+2,38.285714285714285,1,3.55
weight,male,38+2,38.285714285714285,2,4.03
weight,male,38+2,38.285714285714285,3,4.61
weight,male,38+3,38.42857142857143,-3,1.86
weight,male,38+3,38.42857142857143,-2,2.34
weight,male,38+3,38.42857142857143,-1,2.76
weight,male,38+3,38.42857142857143,0,3.15
weight,male,38+3,38.42857142857143,1,3.57
weight,male,38+3,38.42857142857143,2,4.05
weight,male,38+3,38.42857142857143,3,4.63
weight,male,38+4,38.57142857142857,-3,1.88
weight,male,38+4,38.57142857142857,-2,2.37
weight,male,38+4,38.57142857142857,-1,2.78
weight,male,38+4,38.57142857142857,0,3.17
weight,male,38+4,38.57142857142857,1,3.6
weight,male,38+4,38.57142857142857,2,4.08
weight,male,38+4,38.57142857142857,3,4.66
weight,male,38+5,38.714285714285715,-3,1.9
weight,male,38+5,38.714285714285715,-2,2.39
weight,male,38+5,38.714285714285715,-1,2.8
weight,male,38+5,38.714285714285715,0,3.19
weight,male,38+5,38.714285714285715,1,3.62
weight,male,38+5,38.714285714285715,2,4.1
weight,male,38+5,38.714285714285715,3,4.68
weight,male,38+6,38.857142857142854,-3,1.93
weight,male,38+6,38.857142857142854,-2,2.41
weight,male,38+6,38.857142857142854,-1,2.82
weight,male,38+6,38.857142857142854,0,3.22
weight,male,38+6,38.857142857142854,1,3.64
weight,male,38+6,38.857142857142854,2,4.12
weight,male,38+6,38.857142857142854,3,4.7
weight,male,39+0,39.0,-3,1.95
weight,male,39+0,39.0,-2,2.43
weight,male,39+0,39.0,-1,2.85
weight,male,39+0,39.0,0,3.24
weight,male,39+0,39.0,1,3.66
weight,male,39+0,39.0,2,4.14
weight,male,39+0,39.0,3,4.72
weight,male,39+1,39.142857142857146,-3,1.97
weight,male,39+1,39.142857142857146,-2,2.46
weight,male,39+1,39.142857142857146,-1,2.87
weight,male,39+1,39.142857142857146,0,3.26
weight,male,39+1,39.142857142857146,1,3.68
weight,male,39+1,39.142857142857146,2,4.16
weight,male,39+1,39.142857142857146,3,4.74
weight,male,39+2,39.285714285714285,-3,1.99
weight,male,39+2,39.285714285714285,-2,2.48
weight,male,39+2,39.285714285714285,-1,2.89
weight,male,39+2,39.285714285714285,0,3.28
weight,male,39+2,39.285714285714285,1,3.71
weight,male,39+2,39.285714285714285,2,4.19
weight,male,39+2,39.285714285714285,3,4.76
weight,male,39+3,39.42857142857143,-3,2.01
weight,male,39+3,39.42857142857143,-2,2.5
weight,male,39+3,39.42857142857143,-1,2.91
weight,male,39+3,39.42857142857143,0,3.3
weight,male,39+3,39.42857142857143,1,3.73
weight,male,39+3,39.42857142857143,2,4.21
weight,male,39+3,39.42857142857143,3,4.78
weight,male,39+4,39.57142857142857,-3,2.04
weight,male,39+4,39.57142857142857,-2,2.52
weight,male,39+4,39.57142857142857,-1,2.93
weight,male,39+4,39.57142857142857,0,3.32
weight,male,39+4,39.57142857142857,1,3.75
weight,male,39+4,39.57142857142857,2,4.23
weight,male,39+4,39.57142857142857,3,4.8
weight,male,39+5,39.714285714285715,-3,2.06
weight,male,39+5,39.714285714285715,-2,2.54
weight,male,39+5,39.714285714285715,-1,2.95
weight,male,39+5,39.714285714285715,0,3.34
weight,male,39+5,39.714285714285715,1,3.77
weight,male,39+5,39.714285714285715,2,4.25
weight,male,39+5,39.714285714285715,3,4.82
weight,male,39+6,39.857142857142854,-3,2.08
weight,male,39+6,39.857142857142854,-2,2.56
weight,male,39+6,39.857142857142854,-1,2.97
weight,male,39+6,39.857142857142854,0,3.36
weight,male,39+6,39.857142857142854,1,3.79
weight,male,39+6,39.857142857142854,2,4.27
weight,male,39+6,39.857142857142854,3,4.84
weight,male,40+0,40.0,-3,2.1
weight,male,40+0,40.0,-2,2.58
weight,male,40+0,40.0,-1,2.99
weight,male,40+0,40.0,0,3.38
weight,male,40+0,40.0,1,3.81
weight,male,40+0,40.0,2,4.29
weight,male,40+0,40.0,3,4.86
weight,male,40+1,40.142857142857146,-3,2.12
weight,male,40+1,40.142857142857146,-2,2.6
