ga_label,ga_weeks,measure,sex,value,z_level
63,63.0,hc,female,42.01,0.0
64,64.0,hc,female,42.22,0.0
27,27.0,hc,female,25.71,1.0
28,28.0,hc,female,26.7,1.0
29,29.0,hc,female,27.64,1.0
30,30.0,hc,female,28.52,1.0
31,31.0,hc,female,29.35,1.0
32,32.0,hc,female,30.15,1.0
33,33.0,hc,female,30.89,1.0
34,34.0,hc,female,31.61,1.0
35,35.0,hc,female,32.28,1.0
36,36.0,hc,female,32.93,1.0
37,37.0,hc,female,33.54,1.0
38,38.0,hc,female,34.13,1.0
39,39.0,hc,female,34.69,1.0
40,40.0,hc,female,35.22,1.0
41,41.0,hc,female,35.74,1.0
42,42.0,hc,female,36.23,1.0
43,43.0,hc,female,36.7,1.0
44,44.0,hc,female,37.15,1.0
45,45.0,hc,female,37.58,1.0
46,46.0,hc,female,38.0,1.0
47,47.0,hc,female,38.39,1.0
48,48.0,hc,female,38.78,1.0
49,49.0,hc,female,39.15,1.0
50,50.0,hc,female,39.51,1.0
51,51.0,hc,female,39.85,1.0
52,52.0,hc,female,40.18,1.0
53,53.0,hc,female,40.5,1.0
54,54.0,hc,female,40.81,1.0
55,55.0,hc,female,41.11,1.0
56,56.0,hc,female,41.4,1.0
57,57.0,hc,female,41.68,1.0
58,58.0,hc,female,41.95,1.0
59,59.0,hc,female,42.22,1.0
60,60.0,hc,female,42.47,1.0
61,61.0,hc,female,42.72,1.0
62,62.0,hc,female,42.96,1.0
63,63.0,hc,female,43.19,1.0
64,64.0,hc,female,43.42,1.0
27,27.0,hc,female,27.45,2.0
28,28.0,hc,female,28.3,2.0
29,29.0,hc,female,29.12,2.0
30,30.0,hc,female,29.9,2.0
31,31.0,hc,female,30.66,2.0
32,32.0,hc,female,31.38,2.0
33,33.0,hc,female,32.07,2.0
34,34.0,hc,female,32.74,2.0
35,35.0,hc,female,33.38,2.0
36,36.0,hc,female,33.99,2.0
37,37.0,hc,female,34.58,2.0
38,38.0,hc,female,35.14,2.0
39,39.0,hc,female,35.69,2.0
40,40.0,hc,female,36.21,2.0
41,41.0,hc,female,36.72,2.0
42,42.0,hc,female,37.2,2.0
43,43.0,hc,female,37.67,2.0
44,44.0,hc,female,38.12,2.0
45,45.0,hc,female,38.56,2.0
46,46.0,hc,female,38.98,2.0
47,47.0,hc,female,39.38,2.0
48,48.0,hc,female,39.77,2.0
49,49.0,hc,female,40.15,2.0
50,50.0,hc,female,40.52,2.0
51,51.0,hc,female,40.87,2.0
