measure,sex,ga_label,ga_weeks,z_level,value
hc,female,62,62.0,2.0,44.12
hc,female,63,63.0,2.0,44.37
hc,female,64,64.0,2.0,44.61
hc,female,27,27.0,3.0,29.18
hc,female,28,28.0,3.0,29.9
hc,female,29,29.0,3.0,30.6
hc,female,30,30.0,3.0,31.29
hc,female,31,31.0,3.0,31.96
hc,female,32,32.0,3.0,32.61
hc,female,33,33.0,3.0,33.25
hc,female,34,34.0,3.0,33.87
hc,female,35,35.0,3.0,34.47
hc,female,36,36.0,3.0,35.05
hc,female,37,37.0,3.0,35.61
hc,female,38,38.0,3.0,36.16
hc,female,39,39.0,3.0,36.69
hc,female,40,40.0,3.0,37.2
hc,female,41,41.0,3.0,37.7
hc,female,42,42.0,3.0,38.18
hc,female,43,43.0,3.0,38.64
hc,female,44,44.0,3.0,39.09
hc,female,45,45.0,3.0,39.53
hc,female,46,46.0,3.0,39.96
hc,female,47,47.0,3.0,40.37
hc,female,48,48.0,3.0,40.77
hc,female,49,49.0,3.0,41.15
hc,female,50,50.0,3.0,41.53
hc,female,51,51.0,3.0,41.89
hc,female,52,52.0,3.0,42.25
hc,female,53,53.0,3.0,42.59
hc,female,54,54.0,3.0,42.92
hc,female,55,55.0,3.0,43.25
hc,female,56,56.0,3.0,43.56
hc,female,57,57.0,3.0,43.87
hc,female,58,58.0,3.0,44.17
hc,female,59,59.0,3.0,44.46
hc,female,60,60.0,3.0,44.74
hc,female,61,61.0,3.0,45.02
hc,female,62,62.0,3.0,45.28
hc,female,63,63.0,3.0,45.54
hc,female,64,64.0,3.0,45.8
