measure,sex,ga_label,ga_weeks,z_level,value,source_file
length,female,36+6,36.857142857142854,1,48.8,international_newborn_size_girls_length_z_long.csv
length,female,36+6,36.857142857142854,2,50.6,international_newborn_size_girls_length_z_long.csv
length,female,36+6,36.857142857142854,3,52.6,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,-3,41.6,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,-2,43.8,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,-1,45.6,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,0,47.3,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,1,48.9,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,2,50.7,international_newborn_size_girls_length_z_long.csv
length,female,37+0,37.0,3,52.7,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,-3,41.8,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,-2,43.9,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,-1,45.7,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,0,47.4,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,1,49.0,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,2,50.8,international_newborn_size_girls_length_z_long.csv
length,female,37+1,37.142857142857146,3,52.8,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,-3,41.9,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,-2,44.0,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,-1,45.8,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,0,47.5,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,1,49.1,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,2,50.9,international_newborn_size_girls_length_z_long.csv
length,female,37+2,37.285714285714285,3,52.9,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,-3,42.0,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,-2,44.1,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,-1,45.9,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,0,47.6,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,1,49.2,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,2,51.0,international_newborn_size_girls_length_z_long.csv
length,female,37+3,37.42857142857143,3,53.0,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,-3,42.1,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,-2,44.2,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,-1,46.1,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,0,47.7,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,1,49.3,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,2,51.0,international_newborn_size_girls_length_z_long.csv
length,female,37+4,37.57142857142857,3,53.0,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,-3,42.2,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,-2,44.4,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,-1,46.2,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,0,47.8,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,1,49.4,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,2,51.1,international_newborn_size_girls_length_z_long.csv
length,female,37+5,37.714285714285715,3,53.1,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,-3,42.3,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,-2,44.5,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,-1,46.3,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,0,47.9,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,1,49.5,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,2,51.2,international_newborn_size_girls_length_z_long.csv
length,female,37+6,37.857142857142854,3,53.2,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,-3,42.5,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,-2,44.6,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,-1,46.4,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,0,48.0,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,1,49.6,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,2,51.3,international_newborn_size_girls_length_z_long.csv
length,female,38+0,38.0,3,53.3,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,-3,42.6,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,-2,44.7,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,-1,46.5,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,0,48.1,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,1,49.7,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,2,51.4,international_newborn_size_girls_length_z_long.csv
length,female,38+1,38.142857142857146,3,53.4,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,-3,42.7,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,-2,44.8,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,-1,46.6,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,0,48.2,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,1,49.8,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,2,51.5,international_newborn_size_girls_length_z_long.csv
length,female,38+2,38.285714285714285,3,53.5,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,-3,42.8,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,-2,44.9,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,-1,46.7,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,0,48.3,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,1,49.9,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,2,51.6,international_newborn_size_girls_length_z_long.csv
length,female,38+3,38.42857142857143,3,53.5,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,-3,42.9,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,-2,45.0,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,-1,46.8,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,0,48.4,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,1,50.0,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,2,51.7,international_newborn_size_girls_length_z_long.csv
length,female,38+4,38.57142857142857,3,53.6,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,-3,43.0,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,-2,45.1,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,-1,46.9,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,0,48.5,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,1,50.1,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,2,51.7,international_newborn_size_girls_length_z_long.csv
length,female,38+5,38.714285714285715,3,53.7,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,-3,43.1,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,-2,45.2,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,-1,46.9,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,0,48.6,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,1,50.1,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,2,51.8,international_newborn_size_girls_length_z_long.csv
length,female,38+6,38.857142857142854,3,53.8,international_newborn_size_girls_length_z_long.csv
length,female,39+0,39.0,-3,43.2,international_newborn_size_girls_length_z_long.csv
