ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
26,26,hc,female,90,26.63,26+6
26,26,hc,female,95,27.19,26+6
26,26,hc,female,97,27.56,26+6
27,27,hc,female,3,21.95,27+1
27,27,hc,female,5,22.31,27+1
27,27,hc,female,10,22.88,27+1
27,27,hc,female,50,24.88,27+1
27,27,hc,female,90,26.88,27+1
27,27,hc,female,95,27.45,27+1
27,27,hc,female,97,27.81,27+1
27,27,hc,female,3,22.2,27+3
27,27,hc,female,5,22.57,27+3
27,27,hc,female,10,23.13,27+3
27,27,hc,female,50,25.13,27+3
27,27,hc,female,90,27.13,27+3
27,27,hc,female,95,27.7,27+3
27,27,hc,female,97,28.07,27+3
27,27,hc,female,3,22.45,27+5
27,27,hc,female,5,22.82,27+5
27,27,hc,female,10,23.39,27+5
27,27,hc,female,50,25.39,27+5
27,27,hc,female,90,27.39,27+5
27,27,hc,female,95,27.95,27+5
27,27,hc,female,97,28.32,27+5
28,28,hc,female,3,22.71,28+0
28,28,hc,female,5,23.07,28+0
28,28,hc,female,10,23.64,28+0
28,28,hc,female,50,25.64,28+0
28,28,hc,female,90,27.64,28+0
28,28,hc,female,95,28.21,28+0
28,28,hc,female,97,28.57,28+0
28,28,hc,female,3,22.96,28+2
28,28,hc,female,5,23.33,28+2
28,28,hc,female,10,23.89,28+2
28,28,hc,female,50,25.89,28+2
28,28,hc,female,90,27.89,28+2
28,28,hc,female,95,28.46,28+2
28,28,hc,female,97,28.83,28+2
28,28,hc,female,3,23.21,28+4
28,28,hc,female,5,23.58,28+4
28,28,hc,female,10,24.15,28+4
28,28,hc,female,50,26.15,28+4
28,28,hc,female,90,28.15,28+4
28,28,hc,female,95,28.71,28+4
28,28,hc,female,97,29.08,28+4
28,28,hc,female,3,23.47,28+6
28,28,hc,female,5,23.84,28+6
28,28,hc,female,10,24.4,28+6
28,28,hc,female,50,26.4,28+6
28,28,hc,female,90,28.4,28+6
28,28,hc,female,95,28.97,28+6
28,28,hc,female,97,29.34,28+6
29,29,hc,female,3,23.72,29+1
29,29,hc,female,5,24.09,29+1
29,29,hc,female,10,24.66,29+1
29,29,hc,female,50,26.65,29+1
29,29,hc,female,90,28.65,29+1
29,29,hc,female,95,29.22,29+1
29,29,hc,female,97,29.59,29+1
29,29,hc,female,3,23.97,29+3
29,29,hc,female,5,24.34,29+3
29,29,hc,female,10,24.91,29+3
29,29,hc,female,50,26.91,29+3
29,29,hc,female,90,28.91,29+3
29,29,hc,female,95,29.47,29+3
29,29,hc,female,97,29.84,29+3
29,29,hc,female,3,24.23,29+5
29,29,hc,female,5,24.6,29+5
29,29,hc,female,10,25.16,29+5
29,29,hc,female,50,27.16,29+5
29,29,hc,female,90,29.16,29+5
29,29,hc,female,95,29.73,29+5
29,29,hc,female,97,30.1,29+5
30,30,hc,female,3,24.48,30+0
30,30,hc,female,5,24.85,30+0
30,30,hc,female,10,25.42,30+0
30,30,hc,female,50,27.42,30+0
30,30,hc,female,90,29.41,30+0
30,30,hc,female,95,29.98,30+0
30,30,hc,female,97,30.35,30+0
30,30,hc,female,3,24.74,30+2
30,30,hc,female,5,25.1,30+2
30,30,hc,female,10,25.67,30+2
30,30,hc,female,50,27.67,30+2
30,30,hc,female,90,29.67,30+2
30,30,hc,female,95,30.24,30+2
30,30,hc,female,97,30.6,30+2
30,30,hc,female,3,24.99,30+4
30,30,hc,female,5,25.36,30+4
30,30,hc,female,10,25.92,30+4
30,30,hc,female,50,27.92,30+4
30,30,hc,female,90,29.92,30+4
30,30,hc,female,95,30.49,30+4
30,30,hc,female,97,30.86,30+4
30,30,hc,female,3,25.24,30+6
30,30,hc,female,5,25.61,30+6
30,30,hc,female,10,26.18,30+6
30,30,hc,female,50,28.18,30+6
30,30,hc,female,90,30.18,30+6
30,30,hc,female,95,30.74,30+6
30,30,hc,female,97,31.11,30+6
31,31,hc,female,3,25.5,31+1
31,31,hc,female,5,25.86,31+1
31,31,hc,female,10,26.43,31+1
31,31,hc,female,50,28.43,31+1
31,31,hc,female,90,30.43,31+1
31,31,hc,female,95,31.0,31+1
31,31,hc,female,97,31.36,31+1
31,31,hc,female,3,25.75,31+3
31,31,hc,female,5,26.12,31+3
31,31,hc,female,10,26.68,31+3
31,31,hc,female,50,28.68,31+3
31,31,hc,female,90,30.68,31+3
31,31,hc,female,95,31.25,31+3
31,31,hc,female,97,31.62,31+3
31,31,hc,female,3,26.0,31+5
31,31,hc,female,5,26.37,31+5
31,31,hc,female,10,26.94,31+5
31,31,hc,female,50,28.94,31+5
31,31,hc,female,90,30.94,31+5
31,31,hc,female,95,31.5,31+5
31,31,hc,female,97,31.87,31+5
32,32,hc,female,3,26.26,32+0
32,32,hc,female,5,26.63,32+0
32,32,hc,female,10,27.19,32+0
32,32,hc,female,50,29.19,32+0
32,32,hc,female,90,31.19,32+0
32,32,hc,female,95,31.76,32+0
32,32,hc,female,97,32.13,32+0
32,32,hc,female,3,26.51,32+2
32,32,hc,female,5,26.88,32+2
32,32,hc,female,10,27.45,32+2
32,32,hc,female,50,29.44,32+2
32,32,hc,female,90,31.44,32+2
32,32,hc,female,95,32.01,32+2
32,32,hc,female,97,32.38,32+2
32,32,hc,female,3,26.76,32+4
32,32,hc,female,5,27.13,32+4
32,32,hc,female,10,27.7,32+4
32,32,hc,female,50,29.7,32+4
32,32,hc,female,90,31.7,32+4
32,32,hc,female,95,32.26,32+4
32,32,hc,female,97,32.63,32+4
32,32,hc,female,3,27.02,32+6
32,32,hc,female,5,27.39,32+6
32,32,hc,female,10,27.95,32+6
32,32,hc,female,50,29.95,32+6
32,32,hc,female,90,31.95,32+6
32,32,hc,female,95,32.52,32+6
32,32,hc,female,97,32.89,32+6
