ga_label,ga_weeks,measure,sex,centile,value,ga_weeks_days
31,31,length,female,5,36.58,31+1
31,31,length,female,10,37.53,31+1
31,31,length,female,50,40.86,31+1
31,31,length,female,90,44.19,31+1
31,31,length,female,95,45.14,31+1
31,31,length,female,97,45.75,31+1
31,31,length,female,3,36.33,31+3
31,31,length,female,5,36.95,31+3
31,31,length,female,10,37.89,31+3
31,31,length,female,50,41.22,31+3
31,31,length,female,90,44.55,31+3
31,31,length,female,95,45.5,31+3
31,31,length,female,97,46.11,31+3
31,31,length,female,3,36.7,31+5
31,31,length,female,5,37.31,31+5
31,31,length,female,10,38.25,31+5
31,31,length,female,50,41.59,31+5
31,31,length,female,90,44.92,31+5
31,31,length,female,95,45.86,31+5
31,31,length,female,97,46.47,31+5
32,32,length,female,3,37.06,32+0
32,32,length,female,5,37.67,32+0
32,32,length,female,10,38.62,32+0
32,32,length,female,50,41.95,32+0
32,32,length,female,90,45.28,32+0
32,32,length,female,95,46.22,32+0
32,32,length,female,97,46.84,32+0
32,32,length,female,3,37.42,32+2
32,32,length,female,5,38.04,32+2
32,32,length,female,10,38.98,32+2
32,32,length,female,50,42.31,32+2
32,32,length,female,90,45.64,32+2
32,32,length,female,95,46.59,32+2
32,32,length,female,97,47.2,32+2
32,32,length,female,3,37.78,32+4
32,32,length,female,5,38.4,32+4
32,32,length,female,10,39.34,32+4
32,32,length,female,50,42.67,32+4
32,32,length,female,90,46.01,32+4
32,32,length,female,95,46.95,32+4
32,32,length,female,97,47.56,32+4
32,32,length,female,3,38.15,32+6
32,32,length,female,5,38.76,32+6
32,32,length,female,10,39.71,32+6
32,32,length,female,50,43.04,32+6
32,32,length,female,90,46.37,32+6
32,32,length,female,95,47.31,32+6
32,32,length,female,97,47.93,32+6
